日付,部位,種目,セット,重量kg,回数,RIR
2026-06-27,背中,荷重チンニング,4,60,7,
2026-07-02,胸,ケーブルチェスト,1,60,6,
2026-07-02,胸,ケーブルチェスト,2,50,10,
2026-07-02,胸,ケーブルチェスト,3,50,9,
2026-07-02,胸,インクラインダンベルプレス,1,22,4,
2026-07-02,胸,インクラインダンベルプレス,2,18,7,
2026-07-02,胸,インクラインダンベルプレス,3,18,6,
2026-07-02,胸,シート5手4マシンインクラインプレス,1,66,5,
2026-07-02,胸,シート5手4マシンインクラインプレス,2,66,3,
2026-07-02,胸,シート5手4マシンインクラインプレス,3,46,9,
2026-07-02,胸,シート5手4マシンインクラインプレス,4,46,6,
2026-07-02,胸,ベンチプレス,1,90,4,
2026-07-02,胸,ベンチプレス,2,90,2,
2026-07-02,胸,ベンチプレス,3,80,6,
2026-07-02,胸,ベンチプレス,4,80,4,
2026-07-03,脚,バーベルスクワット,1,95,4,
2026-07-03,脚,バーベルスクワット,2,95,2,
2026-07-03,脚,バーベルスクワット,3,90,8,
2026-07-03,肩,座ってやるサイドレイズ,1,6,14,
2026-07-03,肩,座ってやるサイドレイズ,2,6,10,
2026-07-03,肩,座ってやるサイドレイズ,3,6,8,
2026-07-03,肩,座ってやるサイドレイズ,4,6,8,
2026-07-03,肩,フェイスプル,1,15,16,
2026-07-03,肩,フェイスプル,2,15,11,
2026-07-03,肩,フェイスプル,3,15,12,
2026-07-03,肩,フェイスプル,4,15,10,
2026-07-03,肩,アップライトロー,1,40,10,
2026-07-03,肩,アップライトロー,2,40,8,
2026-07-03,肩,アップライトロー,3,40,7,
2026-07-03,肩,アップライトロー,4,40,6,
2026-07-03,肩,ミリタリープレス,1,45,5,
2026-07-03,肩,ミリタリープレス,2,45,3,
2026-07-03,肩,ミリタリープレス,3,45,7,
2026-07-03,肩,ミリタリープレス,4,40,5,
2026-07-03,肩,ダンベルショルダープレス,1,24,8,
2026-07-03,肩,ダンベルショルダープレス,2,24,8,
2026-07-03,肩,ダンベルショルダープレス,3,24,4,
2026-07-03,肩,ダンベルショルダープレス,4,18,8,
2026-07-05,腕,ケーブルトライセプスエクステンション,1,40,10,
2026-07-05,腕,ケーブルトライセプスエクステンション,2,40,7,
2026-07-05,腕,ケーブルトライセプスエクステンション,3,40,7,
2026-07-05,腕,ケーブルトライセプスエクステンション,4,35,10,
2026-07-05,腕,オーバーヘッドエクステンション,1,30,7,
2026-07-05,腕,オーバーヘッドエクステンション,2,30,5,
2026-07-05,腕,オーバーヘッドエクステンション,3,25,6,
2026-07-05,腕,オーバーヘッドエクステンション,4,25,5,
2026-07-05,背中,プレートローディットプルダウン,1,35,10,
2026-07-05,背中,荷重チンニング,1,60,13,
2026-07-05,背中,荷重チンニング,2,60,8,
2026-07-05,背中,荷重チンニング,3,60,6,
2026-07-05,背中,荷重チンニング,4,60,4,
2026-07-07,脚,バーベルスクワット,1,90,4,
